Lable;AccX1;AccY1;AccZ1;GyrX1;GyrY1;GyrZ1;AccX2;AccY2;AccZ2;GyrX2;GyrY2;GyrZ2;AccX3;AccY3;AccZ3;GyrX3;GyrY3;GyrZ3;AccX4;AccY4;AccZ4;GyrX4;GyrY4;GyrZ4;AccX5;AccY5;AccZ5;GyrX5;GyrY5;GyrZ5;AccX6;AccY6;AccZ6;GyrX6;GyrY6;GyrZ6;AccX7;AccY7;AccZ7;GyrX7;GyrY7;GyrZ7;AccX8;AccY8;AccZ8;GyrX8;GyrY8;GyrZ8;AccX9;AccY9;AccZ9;GyrX9;GyrY9;GyrZ9;AccX10;AccY10;AccZ10;GyrX10;GyrY10;GyrZ10;AccX11;AccY11;AccZ11;GyrX11;GyrY11;GyrZ11;AccX12;AccY12;AccZ12;GyrX12;GyrY12;GyrZ12;AccX13;AccY13;AccZ13;GyrX13;GyrY13;GyrZ13;AccX14;AccY14;AccZ14;GyrX14;GyrY14;GyrZ14;AccX15;AccY15;AccZ15;GyrX15;GyrY15;GyrZ15;AccX16;AccY16;AccZ16;GyrX16;GyrY16;GyrZ16;
UP;-36.0;-29.0;73.0;304.0;-905.0;-218.0;-48.0;3.0;-53.0;101.0;-1077.0;-433.0;-5.0;34.0;-178.0;-115.0;-418.0;-577.0;39.0;100.0;-186.0;-228.0;239.0;-269.0;76.0;124.0;-120.0;-519.0;908.0;422.0;45.0;64.0;-32.0;-287.0;1221.0;951.0;13.0;-29.0;42.0;-277.0;1394.0;973.0;-31.0;-109.0;108.0;144.0;1026.0;496.0;-29.0;-108.0;145.0;270.0;488.0;61.0;-24.0;-45.0;109.0;7.0;-210.0;-209.0;-21.0;6.0;63.0;40.0;-596.0;-464.0;-13.0;29.0;6.0;-53.0;-722.0;-418.0;-1.0;6.0;-21.0;125.0;-560.0;-334.0;2.0;15.0;-48.0;-119.0;-389.0;-102.0;2.0;2.0;-43.0;2.0;-134.0;-50.0;1.0;-3.0;-17.0;77.0;31.0;0.0
UP;-20.0;-13.0;92.0;215.0;-829.0;-337.0;-25.0;7.0;0.0;-17.0;-1179.0;-415.0;-2.0;20.0;-135.0;-263.0;-899.0;-413.0;30.0;63.0;-186.0;-125.0;-47.0;-75.0;64.0;105.0;-156.0;-304.0;686.0;328.0;50.0;64.0;-71.0;-201.0;1238.0;721.0;27.0;19.0;-19.0;-285.0;1467.0;842.0;-25.0;-59.0;58.0;-95.0;1377.0;670.0;-40.0;-92.0;107.0;-18.0;846.0;312.0;-34.0;-86.0;145.0;0.0;179.0;-15.0;-19.0;-60.0;124.0;14.0;-416.0;-234.0;-5.0;-11.0;72.0;157.0;-675.0;-335.0;-7.0;-4.0;-1.0;170.0;-700.0;-395.0;-1.0;29.0;-48.0;177.0;-540.0;-375.0;2.0;28.0;-56.0;-20.0;-323.0;-227.0;5.0;30.0;-38.0;43.0;-81.0;2.0
UP;-14.0;-39.0;70.0;8.0;-1060.0;-657.0;2.0;-16.0;-54.0;254.0;-1032.0;-743.0;18.0;70.0;-163.0;287.0;-490.0;-266.0;31.0;117.0;-190.0;275.0;478.0;297.0;20.0;120.0;-121.0;-319.0;1066.0;814.0;26.0;67.0;-50.0;-437.0;1300.0;979.0;12.0;-33.0;31.0;-379.0;1324.0;907.0;-9.0;-83.0;91.0;-117.0;976.0;608.0;-25.0;-112.0;129.0;69.0;580.0;219.0;-30.0;-62.0;131.0;-85.0;-90.0;-86.0;-22.0;-67.0;98.0;120.0;-460.0;-349.0;-4.0;-11.0;35.0;120.0;-703.0;-460.0;-2.0;8.0;-24.0;175.0;-630.0;-444.0;3.0;50.0;-50.0;135.0;-493.0;-348.0;-8.0;32.0;-49.0;-52.0;-254.0;-114.0;-2.0;10.0;-24.0;75.0;-20.0;-25.0
UP;-21.0;-23.0;75.0;322.0;-849.0;-441.0;-24.0;-16.0;-25.0;211.0;-1027.0;-471.0;-27.0;55.0;-161.0;-424.0;-861.0;-497.0;22.0;78.0;-184.0;-276.0;-49.0;-266.0;63.0;145.0;-152.0;-186.0;734.0;203.0;66.0;132.0;-54.0;-179.0;1309.0;1186.0;37.0;12.0;1.0;65.0;1535.0;1368.0;-23.0;-93.0;64.0;-29.0;1335.0;1119.0;-43.0;-148.0;108.0;547.0;1079.0;330.0;-48.0;-86.0;144.0;73.0;371.0;-68.0;-39.0;-49.0;132.0;-42.0;-395.0;-431.0;-11.0;7.0;71.0;-171.0;-882.0;-592.0;-6.0;21.0;-3.0;-195.0;-913.0;-508.0;8.0;28.0;-43.0;118.0;-587.0;-357.0;2.0;18.0;-51.0;-117.0;-404.0;-178.0;8.0;8.0;-45.0;14.0;-133.0;-93.0
UP;-33.0;-29.0;98.0;-55.0;-821.0;-456.0;-19.0;-16.0;16.0;132.0;-1300.0;-736.0;0.0;31.0;-130.0;-149.0;-1148.0;-674.0;52.0;69.0;-196.0;416.0;-70.0;-128.0;66.0;127.0;-159.0;-57.0;855.0;546.0;49.0;78.0;-75.0;-251.0;1307.0;932.0;28.0;29.0;-9.0;-536.0;1402.0;999.0;-13.0;-66.0;53.0;-384.0;1307.0;824.0;-34.0;-97.0;90.0;54.0;1052.0;521.0;-61.0;-91.0;142.0;109.0;405.0;104.0;-37.0;-80.0;138.0;1.0;-479.0;-365.0;-13.0;-15.0;84.0;-8.0;-931.0;-605.0;22.0;-3.0;-2.0;125.0;-879.0;-505.0;6.0;45.0;-59.0;202.0;-527.0;-309.0;6.0;18.0;-65.0;135.0;-254.0;-180.0;2.0;21.0;-44.0;-59.0;-45.0;-71.0
UP;-17.0;-10.0;87.0;535.0;-762.0;-426.0;-28.0;2.0;-10.0;127.0;-1054.0;-511.0;-14.0;74.0;-139.0;-152.0;-747.0;-273.0;22.0;73.0;-172.0;-413.0;15.0;16.0;65.0;109.0;-126.0;-125.0;752.0;471.0;58.0;56.0;-55.0;-387.0;1172.0;822.0;34.0;-8.0;7.0;-199.0;1417.0;852.0;-25.0;-81.0;74.0;-210.0;1168.0;641.0;-41.0;-94.0;116.0;93.0;691.0;214.0;-48.0;-59.0;118.0;-66.0;46.0;-82.0;-24.0;-53.0;98.0;44.0;-451.0;-293.0;-8.0;-20.0;46.0;97.0;-696.0;-409.0;2.0;12.0;-7.0;159.0;-719.0;-388.0;2.0;35.0;-52.0;125.0;-494.0;-321.0;2.0;32.0;-59.0;28.0;-227.0;-133.0;6.0;3.0;-37.0;72.0;37.0;-16.0
UP;-19.0;-54.0;100.0;193.0;-652.0;-470.0;-21.0;-17.0;39.0;78.0;-1102.0;-598.0;-6.0;14.0;-100.0;-225.0;-1039.0;-619.0;20.0;77.0;-179.0;-5.0;-235.0;-238.0;58.0;126.0;-173.0;511.0;665.0;269.0;45.0;109.0;-89.0;-167.0;1194.0;915.0;33.0;45.0;-25.0;-324.0;1423.0;1153.0;-10.0;-64.0;49.0;-1008.0;1349.0;1035.0;-31.0;-140.0;125.0;201.0;891.0;550.0;-40.0;-85.0;148.0;-215.0;163.0;140.0;-14.0;-131.0;130.0;257.0;-589.0;-357.0;-7.0;5.0;33.0;69.0;-814.0;-597.0;8.0;-1.0;-24.0;557.0;-573.0;-575.0;-12.0;89.0;-52.0;161.0;-352.0;-334.0;0.0;26.0;-40.0;34.0;-163.0;-166.0;-2.0;14.0;-26.0;-208.0;-128.0;-29.0
UP;-39.0;-19.0;75.0;146.0;-1212.0;-683.0;-23.0;19.0;-76.0;125.0;-1279.0;-707.0;15.0;101.0;-181.0;-47.0;-602.0;-229.0;58.0;110.0;-209.0;121.0;607.0;422.0;56.0;96.0;-104.0;-321.0;1264.0;870.0;40.0;58.0;-43.0;-338.0;1555.0;1048.0;3.0;-40.0;37.0;-467.0;1565.0;864.0;-34.0;-90.0;97.0;-218.0;1162.0;527.0;-55.0;-95.0;166.0;-12.0;469.0;49.0;-34.0;-85.0;166.0;-187.0;-526.0;-319.0;-2.0;-30.0;87.0;173.0;-931.0;-533.0;24.0;-2.0;-10.0;185.0;-837.0;-425.0;9.0;47.0;-62.0;278.0;-482.0;-211.0;2.0;19.0;-53.0;7.0;-278.0;-126.0;-3.0;9.0;-40.0;-114.0;-137.0;-34.0;9.0;-8.0;-14.0;75.0;81.0;-11.0
UP;-10.0;-32.0;94.0;294.0;-817.0;-475.0;-12.0;-4.0;-15.0;112.0;-1113.0;-461.0;-14.0;47.0;-149.0;23.0;-801.0;-340.0;9.0;97.0;-198.0;14.0;14.0;21.0;42.0;128.0;-130.0;-274.0;746.0;471.0;56.0;87.0;-63.0;-350.0;1146.0;887.0;32.0;1.0;-4.0;-455.0;1387.0;964.0;-13.0;-78.0;51.0;-179.0;1369.0;736.0;-39.0;-128.0;118.0;109.0;898.0;358.0;-37.0;-87.0;155.0;93.0;231.0;-37.0;-29.0;-65.0;133.0;311.0;-484.0;-352.0;-5.0;1.0;50.0;-17.0;-824.0;-531.0;3.0;29.0;-29.0;-69.0;-852.0;-447.0;6.0;32.0;-58.0;-34.0;-519.0;-328.0;2.0;31.0;-50.0;75.0;-184.0;-113.0;-2.0;-2.0;-22.0;102.0;42.0;-7.0
UP;-25.0;-22.0;93.0;255.0;-1070.0;-499.0;-30.0;11.0;-65.0;46.0;-1367.0;-483.0;1.0;37.0;-176.0;-225.0;-837.0;-399.0;28.0;118.0;-219.0;-72.0;18.0;-47.0;57.0;142.0;-126.0;-199.0;874.0;496.0;67.0;117.0;-64.0;-368.0;1550.0;1262.0;24.0;-29.0;15.0;-280.0;1960.0;1371.0;-21.0;-113.0;78.0;-370.0;1704.0;1013.0;-71.0;-177.0;161.0;566.0;947.0;204.0;-54.0;-79.0;172.0;-202.0;-269.0;-477.0;-13.0;-50.0;130.0;300.0;-894.0;-760.0;16.0;47.0;25.0;-412.0;-1174.0;-630.0;25.0;10.0;-42.0;342.0;-626.0;-352.0;-4.0;44.0;-64.0;-51.0;-490.0;-204.0;8.0;4.0;-51.0;112.0;-141.0;-140.0;5.0;5.0;-24.0;-51.0;-27.0;1.0
